VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-03-01 00:30:28,2021-03-01 00:43:57,1,4.82,1,N,138,146,2,15.5,0.5,0.5,0,0,0.3,16.8,0
2,2021-03-01 00:37:03,2021-03-01 01:10:20,1,9.11,1,N,48,37,2,30.5,0.5,0.5,0,0,0.3,34.3,2.5
2,2021-03-01 00:32:33,2021-03-01 00:38:39,1,1.35,1,N,162,100,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2021-03-01 00:38:25,2021-03-01 00:43:06,6,2.69,1,N,88,232,1,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2021-03-01 00:49:22,2021-03-01 01:08:46,1,5.13,1,N,161,223,1,18.5,0.5,0.5,5.58,0,0.3,27.88,2.5
2,2021-03-01 00:14:52,2021-03-01 00:33:03,6,5.33,1,N,90,41,1,18.5,0.5,0.5,5.58,0,0.3,27.88,2.5
2,2021-03-01 00:54:49,2021-03-01 01:14:30,6,6.43,1,N,151,127,2,21.5,0.5,0.5,0,0,0.3,22.8,0
2,2021-03-01 00:05:15,2021-03-01 00:05:17,1,.00,5,N,13,264,1,67,0,0.5,10,0,0.3,77.8,0
2,2021-03-01 00:21:31,2021-03-01 00:45:31,1,18.03,2,N,132,164,1,52,0,0.5,10,6.12,0.3,71.42,2.5
1,2021-03-01 00:11:02,2021-03-01 00:27:54,1,7.70,4,N,132,265,2,29,0.5,0.5,0,0,0.3,30.3,0
2,2021-03-01 00:06:58,2021-03-01 00:07:10,1,.00,1,N,132,132,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2021-03-01 00:11:19,2021-03-01 00:36:27,1,17.60,2,N,132,113,2,52,0,0.5,0,0,0.3,55.3,2.5
2,2021-03-01 00:06:20,2021-03-01 00:16:31,5,3.42,1,N,237,74,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
1,2021-03-01 00:13:25,2021-03-01 00:38:32,1,17.90,2,N,132,68,1,52,2.5,0.5,0,6.12,0.3,61.42,2.5
2,2021-03-01 00:01:44,2021-03-01 00:24:16,1,8.11,1,N,137,61,1,25,0.5,0.5,3,0,0.3,31.8,2.5
2,2021-02-28 23:59:08,2021-03-01 00:15:01,1,4.44,1,N,234,238,1,15.5,0.5,0.5,3,0,0.3,22.3,2.5
2,2021-03-01 00:39:10,2021-03-01 00:50:04,1,2.41,1,N,41,236,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5
1,2021-03-01 00:05:36,2021-03-01 00:19:55,1,8.00,1,N,132,76,1,23,0.5,0.5,4.7,0,0.3,29,0
2,2021-03-01 00:21:39,2021-03-01 00:46:38,1,18.65,1,N,132,247,1,49,0.5,0.5,2,6.12,0.3,58.42,0
2,2021-03-01 00:11:59,2021-03-01 00:45:39,1,24.60,1,N,132,220,1,64,0.5,0.5,12,8.92,0.3,86.22,0
2,2021-03-01 00:25:29,2021-03-01 00:55:54,1,22.32,2,N,132,13,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2021-03-01 00:17:05,2021-03-01 00:28:13,1,7.00,1,N,138,134,2,20,0.5,0.5,0,0,0.3,21.3,0
2,2021-03-01 00:23:29,2021-03-01 00:33:09,1,3.37,1,N,264,264,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
1,2021-03-01 00:01:43,2021-03-01 00:18:22,1,5.90,1,N,186,88,1,19.5,3,0.5,4.65,0,0.3,27.95,2.5
2,2021-03-01 00:28:26,2021-03-01 00:50:37,1,7.50,1,N,234,188,1,23,0.5,0.5,5.36,0,0.3,32.16,2.5
2,2021-03-01 00:12:38,2021-03-01 00:45:49,3,19.30,1,N,132,257,2,53,0.5,0.5,0,0,0.3,54.3,0
2,2021-03-01 00:02:56,2021-03-01 00:24:08,1,10.21,1,N,138,143,1,29.5,0.5,0.5,4,6.12,0.3,43.42,2.5
1,2021-03-01 00:09:17,2021-03-01 00:27:52,1,4.90,1,N,186,41,2,17.5,3,0.5,0,0,0.3,21.3,2.5
